tissue,tau,n_30-39,n_40-49,n_50-59,n_60-69,n_70-79,n_switching
Adipose_Subcutaneous,0.05,1233,402,307,256,1479,3677
Adipose_Subcutaneous,0.1,1259,381,393,216,916,3165
Adipose_Subcutaneous,0.15,1349,348,432,236,648,3013
Adipose_Subcutaneous,0.2,1423,333,483,217,490,2946
Adipose_Subcutaneous,0.25,1588,285,511,223,462,3069
Adipose_Subcutaneous,0.3,1635,336,541,174,435,3121
Adipose_Subcutaneous,0.35,1273,273,517,155,329,2547
Adipose_Subcutaneous,0.4,719,156,301,82,249,1507
Adipose_Subcutaneous,0.45,262,71,134,27,109,603
Adipose_Subcutaneous,0.5,45,10,27,4,36,122
Adipose_Subcutaneous,0.55,6,5,2,0,9,22
Adipose_Subcutaneous,0.6,0,0,0,0,0,0
Adipose_Subcutaneous,0.65,0,0,0,0,0,0
Adipose_Subcutaneous,0.7,0,0,0,0,0,0
Adipose_Subcutaneous,0.75,0,0,0,0,0,0
Adipose_Subcutaneous,0.8,0,0,0,0,0,0
Adipose_Subcutaneous,0.85,0,0,0,0,0,0
Adipose_Subcutaneous,0.9,0,0,0,0,0,0
Adipose_Subcutaneous,0.95,0,0,0,0,0,0
Adipose_Visceral_Omentum,0.05,1344,1238,446,451,2426,5905
Adipose_Visceral_Omentum,0.1,1408,1547,636,619,1702,5912
Adipose_Visceral_Omentum,0.15,1493,1684,695,747,1577,6196
Adipose_Visceral_Omentum,0.2,1546,1826,801,826,1465,6464
Adipose_Visceral_Omentum,0.25,1479,1888,963,875,1352,6557
Adipose_Visceral_Omentum,0.3,1108,1807,1109,859,1153,6036
Adipose_Visceral_Omentum,0.35,653,1191,1260,900,1002,5006
Adipose_Visceral_Omentum,0.4,276,614,850,748,863,3351
Adipose_Visceral_Omentum,0.45,89,182,406,455,491,1623
Adipose_Visceral_Omentum,0.5,12,34,108,144,185,483
Adipose_Visceral_Omentum,0.55,3,2,13,24,41,83
Adipose_Visceral_Omentum,0.6,0,0,1,1,4,6
Adipose_Visceral_Omentum,0.65,0,0,0,0,0,0
Adipose_Visceral_Omentum,0.7,0,0,0,0,0,0
Adipose_Visceral_Omentum,0.75,0,0,0,0,0,0
Adipose_Visceral_Omentum,0.8,0,0,0,0,0,0
Adipose_Visceral_Omentum,0.85,0,0,0,0,0,0
Adipose_Visceral_Omentum,0.9,0,0,0,0,0,0
Adipose_Visceral_Omentum,0.95,0,0,0,0,0,0
Adrenal_Gland,0.05,1223,370,221,333,2682,4829
Adrenal_Gland,0.1,951,274,246,417,2956,4844
Adrenal_Gland,0.15,772,249,264,422,2691,4398
Adrenal_Gland,0.2,665,222,268,430,2221,3806
Adrenal_Gland,0.25,566,186,215,425,1954,3346
Adrenal_Gland,0.3,449,211,202,387,1735,2984
Adrenal_Gland,0.35,438,201,129,440,1505,2713
Adrenal_Gland,0.4,403,265,100,539,1186,2493
Adrenal_Gland,0.45,427,294,95,452,774,2042
Adrenal_Gland,0.5,384,300,57,247,434,1422
Adrenal_Gland,0.55,271,172,20,77,183,723
Adrenal_Gland,0.6,145,60,4,5,62,276
Adrenal_Gland,0.65,19,8,0,0,15,42
Adrenal_Gland,0.7,2,0,0,0,1,3
Adrenal_Gland,0.75,0,0,0,0,0,0
Adrenal_Gland,0.8,0,0,0,0,0,0
Adrenal_Gland,0.85,0,0,0,0,0,0
Adrenal_Gland,0.9,0,0,0,0,0,0
Adrenal_Gland,0.95,0,0,0,0,0,0
Artery_Aorta,0.05,1217,589,539,484,3879,6708
Artery_Aorta,0.1,912,545,556,582,4126,6721
Artery_Aorta,0.15,881,525,565,776,3029,5776
Artery_Aorta,0.2,896,546,546,787,2596,5371
Artery_Aorta,0.25,854,539,511,909,2435,5248
Artery_Aorta,0.3,715,467,508,919,2526,5135
Artery_Aorta,0.35,613,428,547,881,2364,4833
Artery_Aorta,0.4,467,386,554,642,1864,3913
Artery_Aorta,0.45,334,355,464,301,1173,2627
Artery_Aorta,0.5,216,231,212,95,591,1345
Artery_Aorta,0.55,94,71,50,22,217,454
Artery_Aorta,0.6,15,16,6,2,45,84
Artery_Aorta,0.65,0,0,1,0,3,4
Artery_Aorta,0.7,0,0,0,0,0,0
Artery_Aorta,0.75,0,0,0,0,0,0
Artery_Aorta,0.8,0,0,0,0,0,0
Artery_Aorta,0.85,0,0,0,0,0,0
Artery_Aorta,0.9,0,0,0,0,0,0
Artery_Aorta,0.95,0,0,0,0,0,0
Artery_Coronary,0.05,2319,618,355,322,3162,6776
Artery_Coronary,0.1,1663,497,367,325,4281,7133
Artery_Coronary,0.15,1312,428,386,410,4480,7016
Artery_Coronary,0.2,1095,361,377,441,3942,6216
Artery_Coronary,0.25,953,346,287,415,3671,5672
Artery_Coronary,0.3,799,284,218,356,3096,4753
Artery_Coronary,0.35,665,227,161,315,2402,3770
Artery_Coronary,0.4,478,183,105,264,1651,2681
Artery_Coronary,0.45,280,140,89,158,910,1577
Artery_Coronary,0.5,128,73,67,67,399,734
Artery_Coronary,0.55,56,17,22,16,117,228
Artery_Coronary,0.6,19,1,2,0,26,48
Artery_Coronary,0.65,1,0,0,0,1,2
Artery_Coronary,0.7,0,0,0,0,0,0
Artery_Coronary,0.75,0,0,0,0,0,0
Artery_Coronary,0.8,0,0,0,0,0,0
Artery_Coronary,0.85,0,0,0,0,0,0
Artery_Coronary,0.9,0,0,0,0,0,0
Artery_Coronary,0.95,0,0,0,0,0,0
Artery_Tibial,0.05,1542,601,453,438,2265,5299
Artery_Tibial,0.1,1438,630,503,599,1652,4822
Artery_Tibial,0.15,1326,596,500,660,1497,4579
Artery_Tibial,0.2,1203,549,509,640,1559,4460
Artery_Tibial,0.25,949,528,569,666,1572,4284
