tissue,stability_cv
Brain_Cerebellar_Hemisphere,0.4477234827651543
Brain_Spinal_cord_cervical_c_1,0.4624788500196387
Brain_Cerebellum,0.5525078352083809
Cells_EBV_transformed_lymphocytes,0.6652455669242333
Uterus,0.688225833458148
Brain_Caudate_basal_ganglia,0.742903591247654
Brain_Cortex,0.7703206739328483
Ovary,0.8033802223877584
Vagina,0.8256423912108669
Colon_Sigmoid,0.8275871695320552
Brain_Frontal_Cortex_BA9,0.8340421429787481
Adrenal_Gland,0.8444790866743422
Cells_Cultured_fibroblasts,0.8786857953392696
Kidney_Cortex,0.8902888525059793
Brain_Substantia_nigra,0.8952939246016203
Brain_Hippocampus,0.8955136299987702
Brain_Amygdala,0.9046610263014973
Minor_Salivary_Gland,0.9258819565278932
Esophagus_Gastroesophageal_Junction,0.942788632318083
Liver,0.947749774663216
Brain_Nucleus_accumbens_basal_ganglia,0.9526576875958812
Thyroid,0.9649601988297042
Small_Intestine_Terminal_Ileum,0.979136980370391
Brain_Hypothalamus,1.0036315408442844
Brain_Anterior_cingulate_cortex_BA24,1.0114583269868456
Spleen,1.0354661967457357
Colon_Transverse,1.0374322714785218
Artery_Aorta,1.0431137988609132
Esophagus_Mucosa,1.0481657834296931
Lung,1.0757049347664014
Pituitary,1.075901201319155
Testis,1.0770101118013444
Nerve_Tibial,1.078924591467635
Artery_Tibial,1.1079055322587466
Skin_Sun_Exposed_Lower_leg,1.131563372421564
Esophagus_Muscularis,1.137076153761323
Pancreas,1.1415033309257054
Prostate,1.1493401809185664
Artery_Coronary,1.1748057566649226
Skin_Not_Sun_Exposed_Suprapubic,1.2211546161932436
Adipose_Visceral_Omentum,1.2871299230303073
Heart_Atrial_Appendage,1.3528457020245868
Adipose_Subcutaneous,1.385871357355515
Heart_Left_Ventricle,1.398631463556271
Brain_Putamen_basal_ganglia,1.4330629609958767
Breast_Mammary_Tissue,1.4886041613799563
Stomach,1.6256757641778012
Whole_Blood,1.7252640817519345
Muscle_Skeletal,1.7967889377305974
