,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c_1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV_transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
Esophagus_Muscularis,0.005763,0.003876,0.0249,0.018254,0.02497,0.03072,0.010539,0.006042,0.004939,0.002873,0.008051,0.01327,0.007217,0.009437,0.002499,0.01118,0.001898,0.0,0.002529,0.005849,0.009835,0.005296,0.005231,0.029145,0.014183,0.039867,0.030954,1.0,0.005266,0.008917,0.002941,0.008051,0.022323,0.004841,0.001791,0.015818,0.01924,0.004779,0.007803,0.010158,0.006096,0.00578,0.01879,0.010697,0.004185,0.00901,0.019162,0.025616,0.0142,0.0
Heart_Atrial_Appendage,0.002041,0.003077,0.010366,0.006529,0.009036,0.006641,0.002461,0.002418,0.004356,0.00699,0.001429,0.000804,0.0049,0.002218,0.005986,0.004731,0.004991,0.0,0.00367,0.00423,0.003361,0.001681,0.000231,0.005753,0.005377,0.009951,0.006623,0.005266,1.0,0.013157,0.0,0.001411,0.016274,0.002547,0.0,0.006983,0.002745,0.002065,0.0,0.003038,0.0,0.003895,0.010819,0.003093,0.0,0.004222,0.007959,0.005409,0.0093,0.003774
Heart_Left_Ventricle,0.014365,0.0,0.012554,0.006302,0.010038,0.008029,0.001866,0.002669,0.007524,0.017215,0.000622,0.001465,0.004259,0.002324,0.051172,0.023235,0.016793,0.000743,0.003964,0.03722,0.009955,0.001465,0.005289,0.003742,0.004016,0.011516,0.003976,0.008917,0.013157,1.0,0.002,0.107995,0.011168,0.003361,0.002985,0.005459,0.005161,0.002817,0.002041,0.005235,0.003632,0.001509,0.003324,0.003448,0.008835,0.002301,0.003315,0.006967,0.00264,0.0
Kidney_Cortex,0.0,0.0,0.001575,0.000308,0.0,0.0,0.000925,0.000797,0.001237,0.001575,0.002299,0.000878,0.001444,0.003562,0.001783,0.002353,0.002861,0.000427,0.001201,0.00083,0.0,0.000955,0.001202,0.001297,0.000622,0.0,0.0,0.002941,0.0,0.002,1.0,0.001686,0.0,0.000521,0.0,0.001263,0.000828,0.00018,0.000207,0.001882,0.001699,0.004323,0.000905,0.000244,0.0,0.000324,0.00142,0.001071,0.000891,0.0
Liver,0.00211,0.001137,0.014425,0.011873,0.005861,0.014791,0.007383,0.004576,0.005621,0.019417,0.004111,0.004791,0.007552,0.000861,0.019529,0.025268,0.005684,0.000334,0.017351,0.023209,0.00131,0.004495,0.009713,0.012977,0.007414,0.009796,0.003969,0.008051,0.001411,0.107995,0.001686,1.0,0.007905,0.012009,0.000452,0.009376,0.016354,0.003007,0.002598,0.00678,0.002641,0.002847,0.009933,0.008702,0.002143,0.007182,0.008864,0.012826,0.009291,0.000961
Lung,0.011597,0.006069,0.02183,0.026128,0.02612,0.020247,0.007622,0.008372,0.012795,0.006275,0.006696,0.005025,0.007001,0.006601,0.010084,0.008279,0.005105,0.00107,0.005832,0.012508,0.023472,0.006064,0.010651,0.018833,0.012752,0.020775,0.011386,0.022323,0.016274,0.011168,0.0,0.007905,1.0,0.013858,0.0,0.010297,0.014938,0.003417,0.00422,0.02055,0.00983,0.007596,0.024419,0.015762,0.002614,0.009979,0.019672,0.021509,0.017516,0.003571
Minor_Salivary_Gland,0.010915,0.007228,0.009869,0.01024,0.007447,0.013315,0.010843,0.003425,0.007286,0.007175,0.006085,0.008244,0.004725,0.003696,0.010017,0.008117,0.00437,0.001793,0.00832,0.008117,0.002409,0.001078,0.006413,0.011878,0.006699,0.008397,0.00614,0.004841,0.002547,0.003361,0.000521,0.012009,0.013858,1.0,0.0,0.005288,0.009165,0.003127,0.003699,0.009883,0.006951,0.003345,0.010774,0.005245,0.006682,0.005988,0.009828,0.012287,0.007892,0.001524
Muscle_Skeletal,0.0,0.01,0.00122,0.0,0.002068,0.0,0.0,0.0,0.0,0.0,0.001342,0.0,0.000396,0.0,0.000262,0.0,0.000382,0.0,4.6e-05,0.001038,0.0,0.0,0.0,0.000118,0.003175,0.000797,0.002308,0.001791,0.0,0.002985,0.0,0.000452,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000275,0.0,0.0,0.000324,0.000201,0.0,0.0
Nerve_Tibial,0.004169,0.002185,0.013145,0.022924,0.013555,0.02447,0.012028,0.003278,0.006096,0.005205,0.009271,0.013993,0.008203,0.007095,0.004079,0.006939,0.002807,0.002797,0.003577,0.00456,0.004724,0.009004,0.009878,0.023186,0.019198,0.0191,0.011459,0.015818,0.006983,0.005459,0.001263,0.009376,0.010297,0.005288,0.0,1.0,0.019732,0.008549,0.009487,0.018529,0.007373,0.016282,0.012829,0.007757,0.0,0.012266,0.025985,0.014096,0.025144,0.001242
Ovary,0.002837,0.001803,0.017143,0.037607,0.024095,0.018401,0.022315,0.010545,0.00468,0.007753,0.023842,0.022489,0.014658,0.010028,0.010455,0.009045,0.008976,0.0,0.013536,0.011947,0.006091,0.011603,0.015149,0.045846,0.021358,0.029998,0.02036,0.01924,0.002745,0.005161,0.000828,0.016354,0.014938,0.009165,0.0,0.019732,1.0,0.007211,0.007122,0.015869,0.006166,0.010269,0.028758,0.014275,0.00245,0.015125,0.028401,0.050653,0.049789,0.000412
