,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c_1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV_transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
Brain_Cortex,0.005719,0.002905,0.068167,0.092955,0.069689,0.067559,0.096567,0.105727,0.193021,0.22983,0.193271,0.190188,1.0,0.248206,0.207911,0.141094,0.184384,0.023246,0.134744,0.159255,0.013649,0.023427,0.053246,0.089898,0.097011,0.093175,0.061475,0.049288,0.021652,0.035326,0.010186,0.089114,0.041577,0.043962,0.002515,0.069541,0.093184,0.048953,0.038533,0.041237,0.02723,0.03633,0.077063,0.053583,0.00494,0.063047,0.048535,0.077533,0.078442,0.00125
Brain_Frontal_Cortex_BA9,0.009217,0.002695,0.0414,0.041126,0.034275,0.042279,0.055245,0.102894,0.225834,0.181723,0.114205,0.139273,0.248206,1.0,0.169289,0.14187,0.184676,0.032005,0.059989,0.098794,0.019157,0.016277,0.040962,0.051317,0.048229,0.052224,0.036632,0.033054,0.015684,0.030842,0.014956,0.038418,0.027547,0.035564,0.0,0.0481,0.042133,0.021856,0.037078,0.027886,0.02011,0.019978,0.036605,0.031897,0.003318,0.036756,0.035109,0.045004,0.043406,0.002721
Brain_Hippocampus,0.009125,0.0046,0.071842,0.079821,0.071537,0.078641,0.154922,0.118357,0.163602,0.272497,0.19979,0.285643,0.207911,0.169289,1.0,0.224417,0.181968,0.02078,0.152517,0.192979,0.02446,0.032225,0.072776,0.150519,0.112707,0.104021,0.073903,0.076398,0.02199,0.043769,0.011366,0.129377,0.06412,0.066762,0.002022,0.075789,0.126209,0.06635,0.047799,0.062064,0.029659,0.037797,0.085879,0.057947,0.008312,0.073746,0.084876,0.103734,0.12516,0.00375
Brain_Hypothalamus,0.009676,0.005233,0.068127,0.061956,0.058169,0.07312,0.105962,0.137778,0.189055,0.156972,0.118657,0.190174,0.141094,0.14187,0.224417,1.0,0.167025,0.01675,0.100489,0.153378,0.026257,0.037535,0.063582,0.119184,0.088398,0.110673,0.07222,0.083527,0.023102,0.066846,0.009782,0.115069,0.06277,0.056118,0.002353,0.063814,0.091665,0.057154,0.050149,0.049753,0.038503,0.037425,0.066667,0.058658,0.015643,0.06257,0.080645,0.06963,0.083556,0.005865
Brain_Nucleus_accumbens_basal_ganglia,0.011029,0.005639,0.06675,0.070984,0.065277,0.066349,0.087716,0.160449,0.244472,0.205729,0.133396,0.169549,0.184384,0.184676,0.181968,0.167025,1.0,0.038556,0.095101,0.142603,0.016617,0.031204,0.051347,0.097688,0.099932,0.083166,0.056118,0.06094,0.022982,0.050992,0.008668,0.096756,0.049624,0.042714,0.003175,0.0703,0.081574,0.035515,0.044048,0.041315,0.021677,0.033845,0.061995,0.04931,0.006799,0.058135,0.058515,0.057765,0.079815,0.003153
Brain_Putamen_basal_ganglia,0.004673,0.0,0.000892,0.004714,0.002191,0.001957,0.004332,0.021363,0.026525,0.028986,0.005718,0.011596,0.023246,0.032005,0.02078,0.01675,0.038556,1.0,0.002758,0.00624,0.00361,0.00295,0.00207,0.003142,0.003926,0.003182,0.0,0.002584,0.0,0.007194,0.004464,0.00168,0.00152,0.003727,0.0,0.003147,0.001752,0.000863,0.007246,0.0,0.0,0.001927,0.002401,0.00093,0.0,0.002355,0.003378,0.003318,0.004336,0.0
Brain_Spinal_cord_cervical_c_1,0.005882,0.002641,0.075995,0.104403,0.062749,0.071879,0.150263,0.0982,0.083875,0.148153,0.272316,0.212244,0.134744,0.059989,0.152517,0.100489,0.095101,0.002758,1.0,0.155031,0.011252,0.035236,0.074306,0.16032,0.11768,0.090489,0.063095,0.048418,0.014015,0.019468,0.006385,0.140526,0.04078,0.065067,0.000623,0.083429,0.186805,0.068782,0.029505,0.04635,0.018252,0.030758,0.12278,0.061292,0.003875,0.068249,0.070651,0.108432,0.160432,0.002023
Brain_Substantia_nigra,0.012377,0.005618,0.07473,0.088279,0.075254,0.073937,0.107601,0.098182,0.163996,0.164491,0.167644,0.174191,0.159255,0.098794,0.192979,0.153378,0.142603,0.00624,0.155031,1.0,0.02268,0.038814,0.055881,0.129195,0.119716,0.107224,0.08172,0.067322,0.027163,0.049267,0.00644,0.121758,0.055868,0.049598,0.002613,0.067828,0.114702,0.056706,0.03708,0.041445,0.030763,0.040824,0.089252,0.059653,0.010748,0.05629,0.058544,0.08082,0.0914,0.003471
Breast_Mammary_Tissue,0.045249,0.01087,0.037375,0.027248,0.05079,0.041041,0.014677,0.019417,0.018229,0.013893,0.011119,0.022441,0.013649,0.019157,0.02446,0.026257,0.016617,0.00361,0.011252,0.02268,1.0,0.014577,0.015214,0.020246,0.024972,0.046721,0.041568,0.040736,0.046205,0.035629,0.000877,0.022572,0.071429,0.020945,0.0,0.018139,0.019822,0.027972,0.017794,0.036316,0.044944,0.032755,0.010016,0.029218,0.029412,0.020521,0.02906,0.016423,0.010315,0.017751
Cells_Cultured_fibroblasts,0.016051,0.010309,0.028724,0.032432,0.041406,0.044928,0.024318,0.032091,0.024492,0.031107,0.035275,0.040624,0.023427,0.016277,0.032225,0.037535,0.031204,0.00295,0.035236,0.038814,0.014577,1.0,0.036585,0.047585,0.036133,0.045455,0.040683,0.041885,0.019858,0.037129,0.002599,0.042007,0.036574,0.01588,0.003565,0.035474,0.042807,0.031373,0.03178,0.027374,0.022457,0.027382,0.037997,0.038943,0.01157,0.026029,0.030809,0.026597,0.041414,0.005254
Cells_EBV_transformed_lymphocytes,0.007168,0.002211,0.046627,0.056321,0.048829,0.055291,0.053072,0.056786,0.045038,0.063804,0.080655,0.082965,0.053246,0.040962,0.072776,0.063582,0.051347,0.00207,0.074306,0.055881,0.015214,0.036585,1.0,0.067275,0.06619,0.06658,0.053416,0.035282,0.010847,0.023522,0.005647,0.075188,0.048186,0.033266,0.00075,0.04983,0.078917,0.054284,0.021053,0.042812,0.021811,0.027644,0.063003,0.039927,0.005814,0.044454,0.062556,0.05514,0.079603,0.002981
Colon_Sigmoid,0.011295,0.006953,0.085533,0.120853,0.086382,0.10276,0.118644,0.087574,0.093706,0.117743,0.144635,0.180147,0.089898,0.051317,0.150519,0.119184,0.097688,0.003142,0.16032,0.129195,0.020246,0.047585,0.067275,1.0,0.185938,0.109966,0.074276,0.092593,0.020464,0.029222,0.006184,0.14773,0.059986,0.055064,0.001233,0.122051,0.182682,0.07072,0.040175,0.072176,0.029149,0.043414,0.174584,0.074665,0.011391,0.060309,0.130604,0.09151,0.174927,0.004926
Colon_Transverse,0.018703,0.007117,0.098218,0.124348,0.090625,0.099526,0.099171,0.073592,0.086926,0.115494,0.129738,0.130937,0.097011,0.048229,0.112707,0.088398,0.099932,0.003926,0.11768,0.119716,0.024972,0.036133,0.06619,0.185938,1.0,0.125504,0.063669,0.083216,0.03275,0.043944,0.003025,0.128641,0.06527,0.040549,0.001197,0.10703,0.13843,0.061611,0.043043,0.070403,0.035165,0.064449,0.145413,0.080946,0.011751,0.060091,0.099595,0.074607,0.126318,0.004174
Esophagus_Gastroesophageal_Junction,0.022746,0.012998,0.146486,0.137443,0.179298,0.152707,0.089302,0.096238,0.071068,0.099057,0.098144,0.120066,0.093175,0.052224,0.104021,0.110673,0.083166,0.003182,0.090489,0.107224,0.046721,0.045455,0.06658,0.109966,0.125504,1.0,0.186224,0.189678,0.069079,0.08819,0.0,0.123506,0.129428,0.054094,0.003509,0.093269,0.123795,0.094828,0.050676,0.068986,0.052019,0.07807,0.07156,0.08242,0.024914,0.094757,0.101763,0.099669,0.065203,0.008734
Esophagus_Mucosa,0.018773,0.011842,0.108892,0.094764,0.134082,0.093666,0.04473,0.0562,0.052967,0.062745,0.06877,0.078632,0.061475,0.036632,0.073903,0.07222,0.056118,0.0,0.063095,0.08172,0.041568,0.040683,0.053416,0.074276,0.063669,0.186224,1.0,0.11246,0.056338,0.071504,0.0,0.089051,0.09965,0.043697,0.004049,0.053993,0.070385,0.06284,0.04336,0.047763,0.046002,0.071839,0.047587,0.063492,0.01928,0.076305,0.059277,0.0689,0.041112,0.012064
Esophagus_Muscularis,0.018156,0.016345,0.092123,0.080819,0.108611,0.117733,0.055462,0.059397,0.049364,0.055793,0.04568,0.081028,0.049288,0.033054,0.076398,0.083527,0.06094,0.002584,0.048418,0.067322,0.040736,0.041885,0.035282,0.092593,0.083216,0.189678,0.11246,1.0,0.046213,0.071101,0.00306,0.083738,0.11396,0.036733,0.003044,0.061091,0.065352,0.05283,0.044922,0.06486,0.030806,0.048682,0.05412,0.059294,0.027576,0.057885,0.065081,0.061067,0.048187,0.006006
Heart_Atrial_Appendage,0.02834,0.019512,0.04219,0.028898,0.056478,0.035054,0.01441,0.018592,0.018614,0.019868,0.016174,0.01838,0.021652,0.015684,0.02199,0.023102,0.022982,0.0,0.014015,0.027163,0.046205,0.019858,0.010847,0.020464,0.03275,0.069079,0.056338,0.046213,1.0,0.07243,0.0,0.024947,0.065649,0.011035,0.005464,0.022568,0.016999,0.025663,0.018836,0.021118,0.031332,0.031365,0.01395,0.024816,0.030973,0.021739,0.018257,0.014471,0.012984,0.020942
Heart_Left_Ventricle,0.033241,0.01548,0.050041,0.02932,0.056102,0.052538,0.025551,0.029931,0.046626,0.037438,0.027223,0.040425,0.035326,0.030842,0.043769,0.066846,0.050992,0.007194,0.019468,0.049267,0.035629,0.037129,0.023522,0.029222,0.043944,0.08819,0.071504,0.071101,0.07243,1.0,0.003127,0.043068,0.084993,0.010386,0.016779,0.02577,0.025722,0.032106,0.028818,0.02954,0.038384,0.033537,0.019135,0.027477,0.057057,0.025,0.018925,0.020504,0.020063,0.003195
Kidney_Cortex,0.0,0.0,0.002525,0.002554,0.0,0.00053,0.011707,0.007657,0.010478,0.009955,0.007709,0.008544,0.010186,0.014956,0.011366,0.009782,0.008668,0.004464,0.006385,0.00644,0.000877,0.002599,0.005647,0.006184,0.003025,0.0,0.0,0.00306,0.0,0.003127,1.0,0.007757,0.000657,0.007331,0.0,0.003285,0.005621,0.002478,0.002827,0.004271,0.001643,0.002901,0.006274,0.002585,0.0,0.003752,0.005885,0.008911,0.007053,0.0
Liver,0.012998,0.007469,0.101868,0.105505,0.076541,0.089304,0.100564,0.073951,0.081296,0.113018,0.133238,0.149956,0.089114,0.038418,0.129377,0.115069,0.096756,0.00168,0.140526,0.121758,0.022572,0.042007,0.075188,0.14773,0.128641,0.123506,0.089051,0.083738,0.024947,0.043068,0.007757,1.0,0.070412,0.056962,0.001767,0.091552,0.148707,0.074984,0.031575,0.057496,0.030769,0.056355,0.106119,0.071333,0.010026,0.069182,0.083088,0.080293,0.117737,0.004407
Lung,0.037288,0.019784,0.102322,0.078812,0.151888,0.088055,0.03972,0.044863,0.03678,0.043276,0.044115,0.068813,0.041577,0.027547,0.06412,0.06277,0.049624,0.00152,0.04078,0.055868,0.071429,0.036574,0.048186,0.059986,0.06527,0.129428,0.09965,0.11396,0.065649,0.084993,0.000657,0.070412,1.0,0.044394,0.007435,0.067688,0.061859,0.052738,0.04153,0.090573,0.054622,0.048,0.042385,0.063538,0.046018,0.057486,0.070946,0.051695,0.039524,0.012821
Minor_Salivary_Gland,0.006021,0.005045,0.042933,0.03868,0.044444,0.041716,0.060243,0.044657,0.03526,0.048759,0.062518,0.075642,0.043962,0.035564,0.066762,0.056118,0.042714,0.003727,0.065067,0.049598,0.020945,0.01588,0.033266,0.055064,0.040549,0.054094,0.043697,0.036733,0.011035,0.010386,0.007331,0.056962,0.044394,1.0,0.000566,0.039455,0.054454,0.032653,0.025412,0.03573,0.023268,0.01999,0.037707,0.036482,0.004422,0.036825,0.046927,0.046079,0.055457,0.002818
Muscle_Skeletal,0.010309,0.019231,0.003996,0.0,0.002513,0.003319,0.001004,0.001212,0.002101,0.002606,0.00088,0.002314,0.002515,0.0,0.002022,0.002353,0.003175,0.0,0.000623,0.002613,0.0,0.003565,0.00075,0.001233,0.001197,0.003509,0.004049,0.003044,0.005464,0.016779,0.0,0.001767,0.007435,0.000566,1.0,0.00173,0.001814,0.00096,0.004577,0.001504,0.0,0.0,0.000838,0.001044,0.040541,0.000863,0.000935,0.000936,0.000279,0.0
Nerve_Tibial,0.014038,0.007666,0.089286,0.103524,0.074693,0.095161,0.057979,0.053788,0.056518,0.077041,0.092643,0.095687,0.069541,0.0481,0.075789,0.063814,0.0703,0.003147,0.083429,0.067828,0.018139,0.035474,0.04983,0.122051,0.10703,0.093269,0.053993,0.061091,0.022568,0.02577,0.003285,0.091552,0.067688,0.039455,0.00173,1.0,0.092429,0.042206,0.044607,0.083887,0.032428,0.05,0.074527,0.043978,0.004996,0.057248,0.090684,0.062699,0.10567,0.002573
Ovary,0.010149,0.004513,0.091302,0.124216,0.085593,0.091075,0.112023,0.078637,0.065266,0.11806,0.171257,0.16075,0.093184,0.042133,0.126209,0.091665,0.081574,0.001752,0.186805,0.114702,0.019822,0.042807,0.078917,0.182682,0.13843,0.123795,0.070385,0.065352,0.016999,0.025722,0.005621,0.148707,0.061859,0.054454,0.001814,0.092429,1.0,0.082521,0.034435,0.068975,0.025007,0.042679,0.149514,0.076865,0.009304,0.064655,0.103876,0.113301,0.19857,0.002714
Pancreas,0.009066,0.003759,0.055933,0.06364,0.073416,0.038919,0.058222,0.052902,0.03776,0.052456,0.063472,0.065989,0.048953,0.021856,0.06635,0.057154,0.035515,0.000863,0.068782,0.056706,0.027972,0.031373,0.054284,0.07072,0.061611,0.094828,0.06284,0.05283,0.025663,0.032106,0.002478,0.074984,0.052738,0.032653,0.00096,0.042206,0.082521,1.0,0.023944,0.036375,0.017857,0.038067,0.059465,0.059013,0.009242,0.06305,0.055134,0.039882,0.049943,0.002854
Pituitary,0.013944,0.017544,0.043478,0.036564,0.034217,0.045202,0.026256,0.036163,0.043626,0.04555,0.036722,0.052597,0.038533,0.037078,0.047799,0.050149,0.044048,0.007246,0.029505,0.03708,0.017794,0.03178,0.021053,0.040175,0.043043,0.050676,0.04336,0.044922,0.018836,0.028818,0.002827,0.031575,0.04153,0.025412,0.004577,0.044607,0.034435,0.023944,1.0,0.044617,0.022013,0.04359,0.029423,0.033962,0.016667,0.02412,0.033473,0.027242,0.027485,0.004464
Prostate,0.01238,0.008759,0.071056,0.065643,0.06213,0.056049,0.034032,0.031996,0.0345,0.046171,0.045282,0.056323,0.041237,0.027886,0.062064,0.049753,0.041315,0.0,0.04635,0.041445,0.036316,0.027374,0.042812,0.072176,0.070403,0.068986,0.047763,0.06486,0.021118,0.02954,0.004271,0.057496,0.090573,0.03573,0.001504,0.083887,0.068975,0.036375,0.044617,1.0,0.040332,0.030693,0.054355,0.038362,0.018519,0.045349,0.060174,0.038327,0.063932,0.005944
