,Adipose_Subcutaneous,Adipose_Visceral_Omentum,Adrenal_Gland,Artery_Aorta,Artery_Coronary,Artery_Tibial,Bladder,Brain_Amygdala,Brain_Anterior_cingulate_cortex_BA24,Brain_Caudate_basal_ganglia,Brain_Cerebellar_Hemisphere,Brain_Cerebellum,Brain_Cortex,Brain_Frontal_Cortex_BA9,Brain_Hippocampus,Brain_Hypothalamus,Brain_Nucleus_accumbens_basal_ganglia,Brain_Putamen_basal_ganglia,Brain_Spinal_cord_cervical_c_1,Brain_Substantia_nigra,Breast_Mammary_Tissue,Cells_Cultured_fibroblasts,Cells_EBV_transformed_lymphocytes,Colon_Sigmoid,Colon_Transverse,Esophagus_Gastroesophageal_Junction,Esophagus_Mucosa,Esophagus_Muscularis,Heart_Atrial_Appendage,Heart_Left_Ventricle,Kidney_Cortex,Liver,Lung,Minor_Salivary_Gland,Muscle_Skeletal,Nerve_Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin_Not_Sun_Exposed_Suprapubic,Skin_Sun_Exposed_Lower_leg,Small_Intestine_Terminal_Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole_Blood
Skin_Not_Sun_Exposed_Suprapubic,0.019802,0.007634,0.040205,0.031209,0.049948,0.04,0.019231,0.025881,0.028178,0.023973,0.020592,0.030626,0.02723,0.02011,0.029659,0.038503,0.021677,0.0,0.018252,0.030763,0.044944,0.022457,0.021811,0.029149,0.035165,0.052019,0.046002,0.030806,0.031332,0.038384,0.001643,0.030769,0.054622,0.023268,0.0,0.032428,0.025007,0.017857,0.022013,0.040332,1.0,0.088652,0.018816,0.02812,0.014085,0.02161,0.022329,0.01816,0.014957,0.004016
Skin_Sun_Exposed_Lower_leg,0.030501,0.01182,0.043873,0.044153,0.070255,0.055144,0.025847,0.033656,0.033772,0.039434,0.033765,0.040911,0.03633,0.019978,0.037797,0.037425,0.033845,0.001927,0.030758,0.040824,0.032755,0.027382,0.027644,0.043414,0.064449,0.07807,0.071839,0.048682,0.031365,0.033537,0.002901,0.056355,0.048,0.01999,0.0,0.05,0.042679,0.038067,0.04359,0.030693,0.088652,1.0,0.036773,0.035714,0.01573,0.032974,0.044043,0.024,0.032023,0.002421
Small_Intestine_Terminal_Ileum,0.006552,0.00458,0.054198,0.089239,0.064016,0.06313,0.070564,0.061095,0.056283,0.091091,0.116553,0.113478,0.077063,0.036605,0.085879,0.066667,0.061995,0.002401,0.12278,0.089252,0.010016,0.037997,0.063003,0.174584,0.145413,0.07156,0.047587,0.05412,0.01395,0.019135,0.006274,0.106119,0.042385,0.037707,0.000838,0.074527,0.149514,0.059465,0.029423,0.054355,0.018816,0.036773,1.0,0.082871,0.006609,0.047619,0.088861,0.056536,0.141623,0.001252
Spleen,0.011799,0.007165,0.062569,0.056829,0.069264,0.063042,0.048582,0.04787,0.045133,0.053337,0.061427,0.074082,0.053583,0.031897,0.057947,0.058658,0.04931,0.00093,0.061292,0.059653,0.029218,0.038943,0.039927,0.074665,0.080946,0.08242,0.063492,0.059294,0.024816,0.027477,0.002585,0.071333,0.063538,0.036482,0.001044,0.043978,0.076865,0.059013,0.033962,0.038362,0.02812,0.035714,0.082871,1.0,0.011033,0.041335,0.063197,0.045455,0.052386,0.007269
Stomach,0.020833,0.009901,0.011516,0.009213,0.013158,0.01594,0.004391,0.007105,0.004752,0.008059,0.004202,0.007358,0.00494,0.003318,0.008312,0.015643,0.006799,0.0,0.003875,0.010748,0.029412,0.01157,0.005814,0.011391,0.011751,0.024914,0.01928,0.027576,0.030973,0.057057,0.0,0.010026,0.046018,0.004422,0.040541,0.004996,0.009304,0.009242,0.016667,0.018519,0.014085,0.01573,0.006609,0.011033,1.0,0.00834,0.014493,0.005866,0.004695,0.0
Testis,0.005724,0.005089,0.065835,0.06364,0.06571,0.066981,0.050507,0.06422,0.042718,0.065283,0.074704,0.078776,0.063047,0.036756,0.073746,0.06257,0.058135,0.002355,0.068249,0.05629,0.020521,0.026029,0.044454,0.060309,0.060091,0.094757,0.076305,0.057885,0.021739,0.025,0.003752,0.069182,0.057486,0.036825,0.000863,0.057248,0.064655,0.06305,0.02412,0.045349,0.02161,0.032974,0.047619,0.041335,0.00834,1.0,0.052053,0.05109,0.052385,0.004288
Thyroid,0.011525,0.00828,0.066111,0.095109,0.069106,0.093049,0.062974,0.055208,0.04037,0.063484,0.069952,0.084763,0.048535,0.035109,0.084876,0.080645,0.058515,0.003378,0.070651,0.058544,0.02906,0.030809,0.062556,0.130604,0.099595,0.101763,0.059277,0.065081,0.018257,0.018925,0.005885,0.083088,0.070946,0.046927,0.000935,0.090684,0.103876,0.055134,0.033473,0.060174,0.022329,0.044043,0.088861,0.063197,0.014493,0.052053,1.0,0.053779,0.111058,0.001852
Uterus,0.006446,0.003102,0.078032,0.083214,0.075115,0.063476,0.092028,0.063834,0.055861,0.080069,0.119556,0.120006,0.077533,0.045004,0.103734,0.06963,0.057765,0.003318,0.108432,0.08082,0.016423,0.026597,0.05514,0.09151,0.074607,0.099669,0.0689,0.061067,0.014471,0.020504,0.008911,0.080293,0.051695,0.046079,0.000936,0.062699,0.113301,0.039882,0.027242,0.038327,0.01816,0.024,0.056536,0.045455,0.005866,0.05109,0.053779,1.0,0.08598,0.004054
Vagina,0.009101,0.003889,0.062107,0.086746,0.047333,0.075331,0.106736,0.072634,0.064165,0.109644,0.158897,0.138304,0.078442,0.043406,0.12516,0.083556,0.079815,0.004336,0.160432,0.0914,0.010315,0.041414,0.079603,0.174927,0.126318,0.065203,0.041112,0.048187,0.012984,0.020063,0.007053,0.117737,0.039524,0.055457,0.000279,0.10567,0.19857,0.049943,0.027485,0.063932,0.014957,0.032023,0.141623,0.052386,0.004695,0.052385,0.111058,0.08598,1.0,0.001948
Whole_Blood,0.0,0.015873,0.004946,0.005076,0.01125,0.012128,0.002811,0.003016,0.004878,0.001946,0.00211,0.00393,0.00125,0.002721,0.00375,0.005865,0.003153,0.0,0.002023,0.003471,0.017751,0.005254,0.002981,0.004926,0.004174,0.008734,0.012064,0.006006,0.020942,0.003195,0.0,0.004407,0.012821,0.002818,0.0,0.002573,0.002714,0.002854,0.004464,0.005944,0.004016,0.002421,0.001252,0.007269,0.0,0.004288,0.001852,0.004054,0.001948,1.0
